Year,Gender,Race/Ethnicity,LEP Status,LEP Numeric,Economically Disadvantaged Status,ED Numeric,Language Code,English Language Proficiency Level,ELPL Numeric,Primary Disability Type,ELA Scale Score,ELA Achievement Level,ELA AL ,Math Scale Score,Math Achievement Level,Math AL ,Concepts and Procedures Claim Achievement Category,Problem Solving and Modeling & Data Analysis Claim Achievement Category,Communicating Reasoning Claim Achievement Category,Fall RIT,Fall %ile,Typical RIT Growth Points,Tiered RIT Growth Points,Winter GOAL Score,Spring GOAL Score,Winter RIT,Winter %ile,BOY to Winter Growth,Met Winter goal?,Met Winter Goal Numeric,Spring RIT,Spring %ile,BOY to Spring RIT Growth,Winter to Spring RIT Growth ,Met Spring Goal?,Met Spring Goal Numeric 
2017,F,Hispanic or Latino,N,0,N,0,ENG,NA,6,NA,2512,Standard Met,3,2553,Standard Met,3,Above Standard,Near Standard,Near Standard,195,24,8,12,201,207,212,58,17,Yes,1,201,24,6,-11,Not Yet,0
2017,F,Hispanic or Latino,N,0,N,0,ENG,NA,6,NA,2484,Standard Nearly Met,2,2537,Standard Met,3,Near Standard,Near Standard,Near Standard,199,33,7,11,204,210,210,53,11,Yes,1,201,24,2,-9,Not Yet,0
2017,M,White,N,0,Y,1,ENG,NA,6,NA,2441,Standard Not Met,1,2560,Standard Met,3,Above Standard,Near Standard,Near Standard,207,53,6,9,212,216,213,61,6,Yes,1,212,51,5,-1,Not Yet,0
2017,F,Hispanic or Latino,N,0,N,0,ENG,NA,6,NA,2487,Standard Nearly Met,2,2456,Standard Nearly Met,2,Near Standard,Below Standard,Below Standard,200,35,7,11,205,211,198,23,-2,No,0,203,28,3,5,Not Yet,0
2017,F,Hispanic or Latino,N,0,N,0,ENG,NA,6,NA,2463,Standard Nearly Met,2,2467,Standard Nearly Met,2,Below Standard,Below Standard,Near Standard,209,59,6,9,214,218,210,53,1,No,0,215,59,6,5,Not Yet,0
2017,M,Filipino,N,0,N,0,ENG,NA,6,NA,2334,Standard Not Met,1,2467,Standard Nearly Met,2,Below Standard,Near Standard,Near Standard,190,15,8,12,196,202,182,3,-8,No,0,196,15,6,14,Not Yet,0
2017,M,Hispanic or Latino,N,0,Y,1,ENG,NA,6,EMN,2363,Standard Not Met,1,2515,Standard Nearly Met,2,Near Standard,Below Standard,Near Standard,180,4,10,15,188,195,180,2,0,No,0,179,1,-1,-1,Not Yet,0
2017,M,White,N,0,Y,1,ENG,NA,6,NA,2423,Standard Not Met,1,2513,Standard Nearly Met,2,Near Standard,Near Standard,Near Standard,207,53,6,9,212,216,201,29,-6,No,0,206,35,-1,5,Not Yet,0
2017,M,Native Hawaiian or Pacific Islander,N,0,N,0,ENG,NA,6,NA,2355,Standard Not Met,1,2392,Standard Not Met,1,Below Standard,Below Standard,Near Standard,185,9,9,14,192,199,171,1,-14,No,0,165,1,-20,-6,Not Yet,0
2017,F,Hispanic or Latino,N,0,N,0,ENG,NA,6,NA,2201,Standard Not Met,1,2372,Standard Not Met,1,Below Standard,Below Standard,Below Standard,200,35,7,11,205,211,212,58,12,Yes,1,208,41,8,-4,Not Yet,0
2017,M,Hispanic or Latino,N,0,Y,1,ENG,NA,6,EMN,2356,Standard Not Met,1,2415,Standard Not Met,1,Below Standard,Below Standard,Below Standard,161,1,13,20,171,181,184,4,23,Yes,1,180,2,19,-4,Not Yet,0
2017,F,Black or African American,Y,1,N,0,FRE,EARLY INTERMEDIATE,2,NA,2329,Standard Not Met,1,2372,Standard Not Met,1,Below Standard,Below Standard,Below Standard,172,1,11,17,180,189,175,1,3,No,0,181,2,9,6,Not Yet,0
2017,F,Asian,N,0,N,0,JPN,NA,6,NA,2604,Standard Exceeded,4,2610,Standard Exceeded,4,Above Standard,Above Standard,Near Standard,227,92,3,4,229,231,221,79,-6,No,0,221,74,-6,0,Not Yet,0
2017,F,Filipino,N,0,N,0,PHI,NA,6,NA,2595,Standard Exceeded,4,2613,Standard Exceeded,4,Above Standard,Above Standard,Above Standard,215,73,5,8,219,223,222,81,7,Yes,1,216,62,1,-6,Not Yet,0
2017,F,Hispanic or Latino,Y,1,Y,1,SPA,ADVANCED,5,NA,2598,Standard Exceeded,4,2613,Standard Exceeded,4,Above Standard,Above Standard,Above Standard,225,90,3,4,227,229,223,83,-2,No,0,221,74,-4,-2,Not Yet,0
2017,M,Hispanic or Latino,N,0,N,0,SPA,NA,6,NA,2596,Standard Exceeded,4,2606,Standard Exceeded,4,Above Standard,Near Standard,Near Standard,220,83,4,5,223,225,222,81,2,No,0,223,78,3,1,Not Yet,0
2017,F,Hispanic or Latino,N,0,N,0,SPA,NA,6,NA,2658,Standard Exceeded,4,2590,Standard Exceeded,4,Above Standard,Above Standard,Near Standard,228,93,3,4,230,232,229,91,1,No,0,225,80,-3,-4,Not Yet,0
2017,F,Hispanic or Latino,N,0,N,0,SPA,NA,6,NA,2645,Standard Exceeded,4,2700,Standard Exceeded,4,Above Standard,Above Standard,Above Standard,232,96,2,3,233,235,227,89,-5,No,0,232,92,0,5,Not Yet,0
2017,F,Hispanic or Latino,N,0,Y,1,SPA,NA,6,NA,2697,Standard Exceeded,4,2629,Standard Exceeded,4,Above Standard,Above Standard,Above Standard,230,95,3,4,232,234,228,90,-2,No,0,229,88,-1,1,Not Yet,0
2017,F,Hispanic or Latino,N,0,N,0,SPA,NA,6,NA,2587,Standard Exceeded,4,2587,Standard Exceeded,4,Above Standard,Near Standard,Near Standard,220,83,4,5,223,225,223,83,3,Yes,1,224,80,4,1,Not Yet,0
2017,F,Hispanic or Latino,N,0,Y,1,SPA,NA,6,NA,2629,Standard Exceeded,4,2586,Standard Exceeded,4,Above Standard,Above Standard,Near Standard,216,75,5,6,219,222,223,83,7,Yes,1,221,74,5,-2,Not Yet,0
2017,F,Hispanic or Latino,N,0,Y,1,SPA,NA,6,NA,2635,Standard Exceeded,4,2590,Standard Exceeded,4,Above Standard,Above Standard,Near Standard,230,95,3,4,232,234,233,95,3,Yes,1,230,90,0,-3,Not Yet,0
2017,M,Hispanic or Latino,N,0,N,0,SPA,ADVANCED,5,NA,2554,Standard Met,3,2599,Standard Exceeded,4,Above Standard,Above Standard,Near Standard,224,89,3,4,226,228,221,79,-3,No,0,224,80,0,3,Not Yet,0
2017,M,Hispanic or Latino,N,0,N,0,SPA,NA,6,NA,2507,Standard Met,3,2697,Standard Exceeded,4,Above Standard,Above Standard,Above Standard,214,71,5,8,218,222,214,63,0,No,0,214,57,0,0,Not Yet,0
2017,F,Hispanic or Latino,N,0,N,0,SPA,NA,6,NA,2544,Standard Met,3,2628,Standard Exceeded,4,Above Standard,Above Standard,Above Standard,216,75,5,6,219,222,218,73,2,No,0,216,62,0,-2,Not Yet,0
2017,M,Hispanic or Latino,N,0,Y,1,SPA,NA,6,NA,2503,Standard Met,3,2590,Standard Exceeded,4,Above Standard,Above Standard,Above Standard,214,71,5,8,218,222,217,71,3,No,0,220,72,6,3,Not Yet,0
2017,F,Hispanic or Latino,N,0,N,0,SPA,NA,6,NA,2563,Standard Met,3,2632,Standard Exceeded,4,Above Standard,Above Standard,Above Standard,209,59,6,9,214,218,225,86,16,Yes,1,214,57,5,-11,Not Yet,0
2017,M,Hispanic or Latino,N,0,N,0,SPA,NA,6,NA,2511,Standard Met,3,2562,Standard Met,3,Near Standard,Near Standard,Above Standard,201,38,7,11,206,212,186,6,-15,No,0,206,35,5,20,Not Yet,0
2017,F,Hispanic or Latino,N,0,N,0,SPA,NA,6,NA,2516,Standard Met,3,2564,Standard Met,3,Above Standard,Near Standard,Near Standard,205,48,6,9,210,214,203,34,-2,No,0,212,51,7,9,Not Yet,0
